#timeI (float32)[1],integ_ch0 (float32)[1],integ_ch1 (float32)[1],integ_ch2 (float32)[1],integ_ch3 (float32)[1],integ_ch4 (float32)[1],integ_ch5 (float32)[1],integ_ch6 (float32)[1],integ_ch7 (float32)[1],integ_ch8 (float32)[1],integ_ch9 (float32)[1],integ_ch10 (float32)[1],integ_ch11 (float32)[1],integ_ch12 (float32)[1],integ_ch13 (float32)[1],integ_ch14 (float32)[1],integ_ch15 (float32)[1],rogowski_ch (float32)[1]
-0.00100000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,3.54946208,32.51296997,-1.94965804,4.76415396,0.00000000
-0.00089998,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,3.54946208,32.51678848,-1.94965804,4.76415396,0.00000000
-0.00079996,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,3.54946208,32.51296997,-1.94965804,4.76034021,0.00000000
-0.00069994,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,3.54946208,32.51296997,-1.94584405,4.76415396,0.00000000
-0.00059992,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,3.55327606,32.51296997,-1.94965804,4.76796913,0.00000000
-0.00049990,-0.00000000,-0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,3.55327606,32.51296997,-1.94965804,4.76415396,0.00000000
-0.00039988,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,3.54946208,32.51296997,-1.94584405,4.76415396,0.00000000
-0.00029986,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,3.54946208,32.51678848,-1.94965804,4.76415396,0.00000000
-0.00019984,0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,-0.00000000,3.54946208,32.51296997,-1.94584405,4.76415396,6.87490797
-0.00009982,0.00000000,-0.00000001,0.00000001,0.00000004,0.00000002,-0.00000000,0.00000001,-0.00000001,-0.00000000,-0.00000000,-0.00000000,0.00000004,3.55327606,32.51678848,-1.94584405,4.76415396,8.24987793
0.00000020,0.00000001,-0.00000001,0.00000002,0.00000007,0.00000003,-0.00000001,0.00000001,-0.00000001,-0.00000001,-0.00000000,-0.00000000,0.00000005,3.55327606,32.51678848,-1.94965804,4.76415396,9.85401917
0.00010022,0.00000020,0.00000006,0.00000002,0.00000006,0.00000002,0.00000004,-0.00000006,-0.00000007,-0.00000013,-0.00000004,-0.00000012,-0.00000003,3.47316790,32.48246002,-2.02976704,4.65352821,13.52062988
0.00020024,0.00000035,0.00000010,0.00000002,0.00000004,-0.00000002,0.00000006,-0.00000012,-0.00000010,-0.00000021,-0.00000008,-0.00000019,-0.00000004,3.53038812,32.50152969,-1.96873200,4.73363686,-32.31196976
0.00030026,0.00000045,0.00000016,0.00000004,0.00000001,-0.00000005,0.00000007,-0.00000016,-0.00000012,-0.00000025,-0.00000009,-0.00000023,-0.00000009,3.54946208,32.50915909,-1.95347297,4.76034021,-48.58253098
0.00040028,0.00000051,0.00000019,0.00000004,-0.00000003,-0.00000008,0.00000007,-0.00000017,-0.00000012,-0.00000026,-0.00000010,-0.00000025,-0.00000012,3.54946208,32.50915909,-1.94965804,4.76415396,-19.70800972
0.00050030,0.00000058,0.00000023,0.00000006,-0.00000005,-0.00000010,0.00000006,-0.00000019,-0.00000013,-0.00000028,-0.00000010,-0.00000028,-0.00000015,3.55709100,32.51296997,-1.94584405,4.76796913,-1.60412598
0.00060032,0.00000063,0.00000024,0.00000007,-0.00000001,-0.00000009,0.00000005,-0.00000019,-0.00000014,-0.00000030,-0.00000011,-0.00000030,-0.00000012,3.55327606,32.50915909,-1.94584405,4.76796913,-1.14579797
0.00070034,0.00000068,0.00000026,0.00000010,0.00000004,-0.00000007,0.00000005,-0.00000021,-0.00000017,-0.00000032,-0.00000011,-0.00000032,-0.00000008,3.55709100,32.51296997,-1.93821394,4.77559900,24.74962044
0.00080036,0.00000073,0.00000028,0.00000013,0.00000009,-0.00000004,0.00000005,-0.00000023,-0.00000019,-0.00000034,-0.00000012,-0.00000033,-0.00000006,3.54564691,32.50915909,-1.94965804,4.75652504,23.37464905
0.00090038,0.00000081,0.00000032,0.00000017,0.00000015,0.00000000,0.00000008,-0.00000028,-0.00000024,-0.00000038,-0.00000013,-0.00000038,-0.00000004,3.55327606,32.50915909,-1.94965804,4.76415396,42.39516830
0.00100040,0.00000083,0.00000034,0.00000019,0.00000018,0.00000002,0.00000010,-0.00000031,-0.00000027,-0.00000040,-0.00000013,-0.00000038,-0.00000001,3.55327606,32.50915909,-1.94584405,4.76796913,35.52027893
0.00110042,0.00000088,0.00000037,0.00000021,0.00000017,0.00000001,0.00000013,-0.00000036,-0.00000029,-0.00000043,-0.00000013,-0.00000040,-0.00000005,3.55327606,32.51678848,-1.94584405,4.77178383,35.52027893
0.00120044,0.00000095,0.00000042,0.00000022,0.00000014,-0.00000003,0.00000011,-0.00000037,-0.00000031,-0.00000042,-0.00000014,-0.00000044,-0.00000008,3.57997894,32.52822876,-1.91532600,4.81374502,31.16617966
0.00130046,0.00000087,0.00000039,0.00000017,0.00000005,-0.00000015,-0.00000005,-0.00000022,-0.00000025,-0.00000037,-0.00000014,-0.00000041,0.00000003,3.59142303,32.53205109,-1.90769696,4.82518911,55.91579056
0.00140048,0.00000074,0.00000032,0.00000010,-0.00000004,-0.00000027,-0.00000020,-0.00000008,-0.00000019,-0.00000032,-0.00000014,-0.00000034,0.00000018,3.59523797,32.53205109,-1.90006697,4.83281898,155.60169983
0.00150050,0.00000062,0.00000024,0.00000006,-0.00000009,-0.00000034,-0.00000028,0.00000000,-0.00000015,-0.00000030,-0.00000013,-0.00000026,0.00000030,3.58760905,32.52822876,-1.90769696,4.81756020,129.47709656
0.00160052,0.00000057,0.00000020,0.00000005,-0.00000008,-0.00000033,-0.00000028,-0.00000000,-0.00000016,-0.00000031,-0.00000012,-0.00000020,0.00000041,3.57235003,32.52442169,-1.92295599,4.80230093,42.16601944
0.00170054,0.00000057,0.00000020,0.00000008,-0.00000004,-0.00000028,-0.00000022,-0.00000007,-0.00000020,-0.00000035,-0.00000012,-0.00000017,0.00000044,3.56471992,32.52059937,-1.93439901,4.78704309,-60.49901962
0.00180056,0.00000066,0.00000024,0.00000012,0.00000002,-0.00000022,-0.00000014,-0.00000015,-0.00000025,-0.00000039,-0.00000011,-0.00000019,0.00000041,3.55327606,32.51678848,-1.94584405,4.77178383,-118.93560028
0.00190058,0.00000073,0.00000029,0.00000016,0.00000006,-0.00000018,-0.00000012,-0.00000019,-0.00000027,-0.00000041,-0.00000011,-0.00000021,0.00000039,3.56090593,32.51678848,-1.93821394,4.77559900,-108.16490173
0.00200060,0.00000080,0.00000033,0.00000018,0.00000009,-0.00000018,-0.00000012,-0.00000021,-0.00000030,-0.00000043,-0.00000012,-0.00000023,0.00000037,3.56471992,32.51678848,-1.93439901,4.77941322,-40.10351944
0.00210062,0.00000083,0.00000037,0.00000018,0.00000005,-0.00000022,-0.00000014,-0.00000022,-0.00000030,-0.00000043,-0.00000012,-0.00000023,0.00000032,3.55327606,32.51296997,-1.94202900,4.77178383,-19.93716049
0.00220064,0.00000089,0.00000041,0.00000019,0.00000002,-0.00000027,-0.00000015,-0.00000022,-0.00000030,-0.00000045,-0.00000012,-0.00000025,0.00000026,3.55327606,32.51296997,-1.94584405,4.76796913,4.58328199
0.00230066,0.00000092,0.00000044,0.00000019,-0.00000003,-0.00000032,-0.00000018,-0.00000022,-0.00000029,-0.00000044,-0.00000012,-0.00000024,0.00000022,3.55327606,32.51296997,-1.94584405,4.76796913,11.45816040
0.00240068,0.00000098,0.00000048,0.00000020,-0.00000006,-0.00000035,-0.00000018,-0.00000023,-0.00000029,-0.00000047,-0.00000012,-0.00000026,0.00000016,3.56090593,32.51296997,-1.94202900,4.77559900,21.99966049
0.00250070,0.00000102,0.00000051,0.00000020,-0.00000009,-0.00000038,-0.00000018,-0.00000024,-0.00000030,-0.00000047,-0.00000013,-0.00000027,0.00000013,3.56090593,32.51678848,-1.93821394,4.77941322,71.04055023
0.00260072,0.00000106,0.00000054,0.00000023,-0.00000005,-0.00000036,-0.00000018,-0.00000026,-0.00000032,-0.00000050,-0.00000013,-0.00000028,0.00000016,3.55327606,32.51296997,-1.94584405,4.76415396,62.33235168
0.00270074,0.00000113,0.00000058,0.00000026,-0.00000001,-0.00000033,-0.00000016,-0.00000030,-0.00000036,-0.00000053,-0.00000013,-0.00000031,0.00000018,3.55709100,32.51678848,-1.94202900,4.77178383,11.91648960
0.00280076,0.00000115,0.00000060,0.00000029,0.00000002,-0.00000031,-0.00000016,-0.00000032,-0.00000039,-0.00000055,-0.00000014,-0.00000031,0.00000022,3.55327606,32.51296997,-1.94965804,4.76796913,-25.43707085
0.00290078,0.00000119,0.00000062,0.00000031,0.00000005,-0.00000029,-0.00000015,-0.00000034,-0.00000043,-0.00000057,-0.00000015,-0.00000033,0.00000026,3.55327606,32.51296997,-1.94584405,4.76796913,-29.79117012
0.00300080,0.00000122,0.00000065,0.00000033,0.00000007,-0.00000028,-0.00000015,-0.00000036,-0.00000046,-0.00000059,-0.00000015,-0.00000033,0.00000028,3.55709100,32.51678848,-1.94202900,4.77559900,-31.39530945
0.00310082,0.00000126,0.00000069,0.00000035,0.00000005,-0.00000030,-0.00000014,-0.00000038,-0.00000047,-0.00000062,-0.00000015,-0.00000034,0.00000025,3.56090593,32.51678848,-1.93821394,4.77941322,-39.64519119
0.00320084,0.00000128,0.00000072,0.00000035,0.00000002,-0.00000033,-0.00000014,-0.00000041,-0.00000049,-0.00000063,-0.00000015,-0.00000033,0.00000022,3.55709100,32.52059937,-1.93821394,4.77559900,-35.29108810
0.00330086,0.00000131,0.00000077,0.00000036,-0.00000001,-0.00000035,-0.00000013,-0.00000044,-0.00000050,-0.00000065,-0.00000015,-0.00000034,0.00000019,3.55327606,32.51296997,-1.94202900,4.77178383,-47.20756912
0.00340088,0.00000134,0.00000080,0.00000036,-0.00000004,-0.00000039,-0.00000013,-0.00000046,-0.00000052,-0.00000066,-0.00000015,-0.00000034,0.00000017,3.55327606,32.51296997,-1.94202900,4.77178383,-39.64519119
0.00350090,0.00000135,0.00000083,0.00000037,-0.00000006,-0.00000042,-0.00000015,-0.00000047,-0.00000053,-0.00000067,-0.00000015,-0.00000033,0.00000017,3.55327606,32.51678848,-1.94584405,4.77178383,-45.37424850
0.00360092,0.00000140,0.00000085,0.00000039,-0.00000004,-0.00000042,-0.00000016,-0.00000048,-0.00000055,-0.00000070,-0.00000016,-0.00000034,0.00000021,3.55327606,32.51678848,-1.94584405,4.77178383,-48.12422180
0.00370094,0.00000142,0.00000087,0.00000040,-0.00000002,-0.00000042,-0.00000020,-0.00000047,-0.00000056,-0.00000071,-0.00000016,-0.00000034,0.00000026,3.55709100,32.51678848,-1.94202900,4.77559900,-45.14509964
0.00380096,0.00000140,0.00000089,0.00000042,-0.00000002,-0.00000042,-0.00000022,-0.00000044,-0.00000056,-0.00000067,-0.00000015,-0.00000031,0.00000028,3.56090593,32.51678848,-1.94202900,4.77559900,-57.51990128
0.00390098,0.00000144,0.00000091,0.00000045,-0.00000000,-0.00000040,-0.00000025,-0.00000045,-0.00000058,-0.00000069,-0.00000014,-0.00000032,0.00000033,3.54564691,32.50915909,-1.95347297,4.75652504,-0.45831299
0.00400100,0.00000147,0.00000093,0.00000046,0.00000001,-0.00000041,-0.00000026,-0.00000045,-0.00000060,-0.00000071,-0.00000015,-0.00000032,0.00000034,3.53801799,32.50915909,-1.96110201,4.74508095,-24.29125977
0.00410102,0.00000145,0.00000096,0.00000047,-0.00000004,-0.00000045,-0.00000027,-0.00000046,-0.00000060,-0.00000068,-0.00000014,-0.00000030,0.00000030,3.55709100,32.52059937,-1.94584405,4.77559900,8.47904968
0.00420104,0.00000150,0.00000101,0.00000050,-0.00000006,-0.00000046,-0.00000024,-0.00000051,-0.00000062,-0.00000069,-0.00000014,-0.00000031,0.00000026,3.57616401,32.51678848,-1.92295599,4.79848623,21.99966049
0.00430106,0.00000151,0.00000105,0.00000052,-0.00000009,-0.00000047,-0.00000021,-0.00000056,-0.00000065,-0.00000070,-0.00000013,-0.00000031,0.00000023,3.56090593,32.51678848,-1.93439901,4.78322792,-4.81240797
