#timeI (float32)[1],PositionR (float32)[1],PositionZ (float32)[1]
-0.00100000,0.00000000,0.00000000
-0.00089999,0.00000000,0.00000000
-0.00079997,0.00000000,0.00000000
-0.00069996,0.00000000,0.00000000
-0.00059995,0.00000000,0.00000000
-0.00049993,0.00000000,0.00000000
-0.00039992,0.00000000,0.00000000
-0.00029991,0.00000000,0.00000000
-0.00019990,0.08500000,0.08500000
-0.00009988,0.08500000,0.08500000
0.00000013,0.08500000,0.08500000
0.00010014,0.08500000,0.08500000
0.00020016,0.08500000,0.08500000
0.00030017,0.08500000,0.08500000
0.00040018,0.08500000,0.08500000
0.00050020,0.08500000,0.08500000
0.00060021,0.08500000,0.08500000
0.00070022,0.08500000,0.08500000
0.00080023,0.08500000,0.08500000
0.00090025,0.08500000,0.08500000
0.00100026,0.08500000,0.08500000
0.00110027,0.08500000,0.08500000
0.00120029,0.08500000,0.08500000
0.00130030,0.08500000,0.08500000
0.00140031,0.08500000,0.08500000
0.00150033,0.08500000,0.08500000
0.00160034,0.08500000,0.08500000
0.00170035,0.08500000,0.08500000
0.00180037,0.08500000,0.08500000
0.00190038,0.08500000,0.08500000
0.00200039,0.08500000,0.08500000
0.00210040,0.08500000,0.08500000
0.00220042,0.08500000,0.08500000
0.00230043,0.08500000,0.08500000
0.00240044,0.08500000,0.08500000
0.00250046,0.08500000,0.08500000
0.00260047,0.08500000,0.08500000
0.00270048,0.08500000,0.08500000
0.00280050,0.08500000,0.08500000
0.00290051,0.08500000,0.08500000
0.00300052,0.08500000,0.08500000
0.00310053,0.08500000,0.08500000
0.00320055,0.08500000,0.08500000
0.00330056,0.08500000,0.08500000
0.00340057,0.08500000,0.08500000
0.00350059,0.08500000,0.08500000
0.00360060,0.08500000,0.08500000
0.00370061,0.08500000,0.08500000
0.00380063,0.08500000,0.08500000
0.00390064,0.08500000,0.08500000
0.00400065,0.08500000,0.08500000
0.00410067,0.08500000,0.08500000
0.00420068,0.08500000,0.08500000
0.00430069,0.08500000,0.08500000
0.00440070,0.08500000,0.08500000
0.00450072,0.08500000,0.08500000
0.00460073,0.08500000,0.08500000
0.00470074,0.08500000,0.08500000
0.00480076,0.08500000,0.08500000
0.00490077,0.08500000,0.08500000
0.00500078,0.08500000,0.08500000
0.00510080,0.08500000,0.08500000
0.00520081,0.08500000,0.08500000
0.00530082,0.08500000,0.08500000
0.00540084,0.08500000,0.08500000
0.00550085,0.08500000,0.08500000
0.00560086,0.08500000,0.08500000
0.00570087,0.08500000,0.08500000
0.00580089,0.08500000,0.08500000
0.00590090,0.08500000,0.08500000
0.00600091,0.08500000,0.08500000
0.00610093,0.08500000,0.08500000
0.00620094,0.08500000,0.08500000
0.00630095,0.08500000,0.08500000
0.00640097,0.08500000,0.08500000
0.00650098,0.08500000,0.08500000
0.00660099,0.08500000,0.08500000
0.00670100,0.08500000,0.08500000
0.00680102,0.08500000,0.08500000
0.00690103,0.08500000,0.08500000
0.00700104,0.08500000,0.08500000
0.00710106,0.08500000,0.08500000
0.00720107,0.08500000,0.08500000
0.00730108,0.08500000,0.08500000
0.00740110,0.08500000,0.08500000
0.00750111,0.08500000,0.08500000
0.00760112,0.08500000,0.08500000
0.00770113,0.08500000,0.08500000
0.00780115,0.08500000,0.08500000
0.00790116,0.08500000,0.08500000
0.00800117,0.08500000,0.08500000
0.00810119,0.08500000,0.08500000
0.00820120,0.08500000,0.08500000
0.00830121,0.08500000,0.08500000
0.00840123,0.08500000,0.08500000
0.00850124,0.08500000,0.08500000
0.00860125,0.08500000,0.08500000
0.00870127,0.08500000,0.08500000
0.00880128,0.08500000,0.08500000
0.00890129,0.08500000,0.08500000
0.00900130,0.08500000,0.08500000
0.00910132,0.08500000,0.08500000
0.00920133,0.08500000,0.08500000
0.00930134,0.08500000,0.08500000
0.00940136,0.08500000,0.08500000
0.00950137,0.08500000,0.08500000
0.00960138,0.08500000,0.08500000
0.00970140,0.08500000,0.08500000
0.00980141,0.08500000,0.08500000
0.00990142,0.08500000,0.08500000
0.01000144,0.08500000,0.08500000
0.01010145,0.08500000,0.08500000
0.01020146,0.08500000,0.08500000
0.01030147,0.08500000,0.08500000
0.01040149,0.08500000,0.08500000
0.01050150,0.08500000,0.08500000
0.01060151,0.08500000,0.08500000
0.01070153,0.08500000,0.08500000
0.01080154,0.08500000,0.08500000
0.01090155,0.08500000,0.08500000
0.01100156,0.08500000,0.08500000
0.01110158,0.08500000,0.08500000
0.01120159,0.08500000,0.08500000
0.01130160,0.08500000,0.08500000
0.01140162,0.08500000,0.08500000
0.01150163,0.08500000,0.08500000
0.01160164,0.08500000,0.08500000
0.01170166,0.08500000,0.08500000
0.01180167,0.08500000,0.08500000
0.01190168,0.08500000,0.08500000
0.01200170,0.08500000,0.08500000
0.01210171,0.08500000,0.08500000
0.01220172,0.08500000,0.08500000
0.01230173,0.08500000,0.08500000
0.01240175,0.08500000,0.08500000
0.01250176,0.08500000,0.08500000
0.01260177,0.08500000,0.08500000
0.01270179,0.08500000,0.08500000
0.01280180,0.08500000,0.08500000
0.01290181,0.08500000,0.08500000
0.01300183,0.08500000,0.08500000
0.01310184,0.08500000,0.08500000
0.01320185,0.08500000,0.08500000
0.01330187,0.08500000,0.08500000
0.01340188,0.08500000,0.08500000
0.01350189,0.08500000,0.08500000
0.01360190,0.08500000,0.08500000
0.01370192,0.08500000,0.08500000
0.01380193,0.08500000,0.08500000
0.01390194,0.08500000,0.08500000
0.01400196,0.08500000,0.08500000
0.01410197,0.08500000,0.08500000
0.01420198,0.08500000,0.08500000
0.01430200,0.08500000,0.08500000
0.01440201,0.08500000,0.08500000
0.01450202,0.08500000,0.08500000
0.01460203,0.08500000,0.08500000
0.01470205,0.08500000,0.08500000
0.01480206,0.08500000,0.08500000
0.01490207,0.08500000,0.08500000
0.01500209,0.08500000,0.08500000
0.01510210,0.08500000,0.08500000
0.01520211,0.08500000,0.08500000
0.01530213,0.08500000,0.08500000
0.01540214,0.08500000,0.08500000
0.01550215,0.08500000,0.08500000
0.01560217,0.08500000,0.08500000
0.01570218,0.08500000,0.08500000
0.01580219,0.08500000,0.08500000
0.01590220,0.08500000,0.08500000
0.01600222,0.08500000,0.08500000
0.01610223,0.08500000,0.08500000
0.01620224,0.08500000,0.08500000
0.01630226,0.08500000,0.08500000
0.01640227,0.08500000,0.08500000
0.01650228,0.08500000,0.08500000
0.01660229,0.08500000,0.08500000
0.01670231,0.08500000,0.08500000
0.01680232,0.08500000,0.08500000
0.01690233,0.08500000,0.08500000
0.01700235,0.08500000,0.08500000
0.01710236,0.08500000,0.08500000
0.01720237,0.08500000,0.08500000
0.01730239,0.08500000,0.08500000
0.01740240,0.08500000,0.08500000
0.01750241,0.08500000,0.08500000
0.01760243,0.08500000,0.08500000
0.01770244,0.08500000,0.08500000
0.01780245,0.08500000,0.08500000
0.01790247,0.08500000,0.08500000
0.01800248,0.08500000,0.08500000
0.01810249,0.08500000,0.08500000
0.01820251,0.08500000,0.08500000
0.01830252,0.08500000,0.08500000
0.01840253,0.08500000,0.08500000
0.01850254,0.08500000,0.08500000
0.01860256,0.08500000,0.08500000
0.01870257,0.08500000,0.08500000
0.01880258,0.08500000,0.08500000
0.01890260,0.08500000,0.08500000
0.01900261,0.08500000,0.08500000
0.01910262,0.08500000,0.08500000
0.01920263,0.08500000,0.08500000
0.01930265,0.08500000,0.08500000
0.01940266,0.08500000,0.08500000
0.01950267,0.08500000,0.08500000
0.01960269,0.08500000,0.08500000
0.01970270,0.08500000,0.08500000
0.01980271,0.08500000,0.08500000
0.01990273,0.08500000,0.08500000
0.02000274,0.08500000,0.08500000
0.02010275,0.08500000,0.08500000
0.02020276,0.08500000,0.08500000
0.02030278,0.08500000,0.08500000
0.02040279,0.08500000,0.08500000
0.02050280,0.08500000,0.08500000
0.02060282,0.08500000,0.08500000
0.02070283,0.08500000,0.08500000
0.02080284,0.08500000,0.08500000
0.02090286,0.08500000,0.08500000
0.02100287,0.08500000,0.08500000
0.02110288,0.08500000,0.08500000
0.02120290,0.08500000,0.08500000
0.02130291,0.08500000,0.08500000
0.02140292,0.08500000,0.08500000
0.02150294,0.08500000,0.08500000
0.02160295,0.08500000,0.08500000
0.02170296,0.08500000,0.08500000
0.02180297,0.08500000,0.08500000
0.02190299,0.08500000,0.08500000
0.02200300,0.08500000,0.08500000
0.02210301,0.08500000,0.08500000
0.02220303,0.08500000,0.08500000
0.02230304,0.08500000,0.08500000
0.02240305,0.08500000,0.08500000
0.02250307,0.08500000,0.08500000
0.02260308,0.08500000,0.08500000
0.02270309,0.08500000,0.08500000
0.02280310,0.08500000,0.08500000
0.02290312,0.08500000,0.08500000
0.02300313,0.08500000,0.08500000
0.02310314,0.08500000,0.08500000
0.02320316,0.08500000,0.08500000
0.02330317,0.08500000,0.08500000
0.02340318,0.08500000,0.08500000
0.02350320,0.08500000,0.08500000
0.02360321,0.08500000,0.08500000
0.02370322,0.08500000,0.08500000
0.02380324,0.08500000,0.08500000
0.02390325,0.08500000,0.08500000
0.02400326,0.08500000,0.08500000
0.02410327,0.08500000,0.08500000
0.02420329,0.08500000,0.08500000
0.02430330,0.08500000,0.08500000
0.02440331,0.08500000,0.08500000
0.02450333,0.08500000,0.08500000
0.02460334,0.08500000,0.08500000
0.02470335,0.08500000,0.08500000
0.02480337,0.08500000,0.08500000
0.02490338,0.08500000,0.08500000
0.02500339,0.08500000,0.08500000
0.02510340,0.08500000,0.08500000
0.02520342,0.08500000,0.08500000
0.02530343,0.08500000,0.08500000
0.02540344,0.08500000,0.08500000
