#timeI (float64)[1];inputMirnov0 (float64)[1];inputMirnov1 (float64)[1];inputMirnov2 (float64)[1];inputMirnov3 (float64)[1];inputMirnov4 (float64)[1];inputMirnov5 (float64)[1];inputMirnov6 (float64)[1];inputMirnov7 (float64)[1];inputMirnov8 (float64)[1];inputMirnov9 (float64)[1];inputMirnov10 (float64)[1];inputMirnov11 (float64)[1];langmuir_top (float64)[1];langmuir_outer (float64)[1];langmuir_bottom (float64)[1];langmuir_inner (float64)[1];outputMpIp (float64)[1];outputMpR (float64)[1];outputMpZ (float64)[1];outputEpR (float64)[1];outputEpZ (float64)[1];outputFusedR (float64)[1];outputFusedZ (float64)[1]
-0.001000;0;0;0;0;0;0;0;0;0;0;0;0;3.530388;32.081909;-1.930585;4.779413;0;NaN;NaN;0.439164;-0.004255;0.439187;-0.004252
-0.000900;0;0;0;0;0;0;0;0;0;0;0;0;3.534203;32.085732;-1.934399;4.779413;0;NaN;NaN;0.439165;-0.004257;0.439166;-0.004257
-0.000800;0;0;0;0;0;0;0;0;0;0;0;0;3.530388;32.085732;-1.930585;4.779413;0;NaN;NaN;0.439165;-0.004255;0.439165;-0.004255
-0.000700;0;0;0;0;0;0;0;0;0;0;0;0;3.522759;32.085732;-1.942029;4.767969;0;NaN;NaN;0.439171;-0.004256;0.439171;-0.004256
-0.000600;0;0;0;0;0;0;0;0;0;0;0;0;3.526573;32.085732;-1.934399;4.779413;0;NaN;NaN;0.439165;-0.004255;0.439165;-0.004255
-0.000500;0;0;0;0;0;0;0;0;0;0;0;0;3.522759;32.081909;-1.938214;4.771784;0;NaN;NaN;0.439167;-0.004255;0.439167;-0.004255
-0.000400;0;0;0;0;0;0;0;0;0;0;0;0;3.526573;32.085732;-1.930585;4.779413;0;NaN;NaN;0.439165;-0.004254;0.439165;-0.004254
-0.000300;0;0;0;0;0;0;0;0;0;0;0;0;3.530388;32.081909;-1.930585;4.779413;0;NaN;NaN;0.439164;-0.004255;0.439164;-0.004255
-0.000200;0;0;0;0;0;0;0;0;0;0;0;0;3.530388;32.085732;-1.930585;4.779413;0;NaN;NaN;0.439165;-0.004255;0.439165;-0.004255
-0.000100;-0.000053;0.000016;-0.000044;0.000065;-0.000022;-0.000023;0.000026;0.000024;-0.000012;0.000012;-0.000081;0.000026;3.530388;32.085732;-1.934399;4.783228;-2.545473;0.567910;0.098453;0.439164;-0.004256;0.439173;-0.004254
0;-0.000059;0.000019;-0.000050;0.000075;-0.000027;-0.000028;0.000031;0.000028;-0.000012;0.000016;-0.000093;0.000029;3.530388;32.085732;-1.930585;4.783228;-2.732915;0.574045;0.099056;0.439164;-0.004255;0.439174;-0.004252
