#timeI (float64)[1];inputMirnov0 (float64)[1];inputMirnov1 (float64)[1];inputMirnov2 (float64)[1];inputMirnov3 (float64)[1];inputMirnov4 (float64)[1];inputMirnov5 (float64)[1];inputMirnov6 (float64)[1];inputMirnov7 (float64)[1];inputMirnov8 (float64)[1];inputMirnov9 (float64)[1];inputMirnov10 (float64)[1];inputMirnov11 (float64)[1];langmuir_top (float64)[1];langmuir_outer (float64)[1];langmuir_bottom (float64)[1];langmuir_inner (float64)[1];rogowski_coil (float64)[1];outputMpIp (float64)[1];outputMpR (float64)[1];outputMpZ (float64)[1];outputEpR (float64)[1];outputEpZ (float64)[1];outputFusedR (float64)[1];outputFusedZ (float64)[1]
-0.001000;0;0;0;0;0;0;0;0;0;0;0;0;3.549462;32.108620;-1.942029;4.783228;0;0;NaN;NaN;0.454884;0.001740;0.454884;0.001740
-0.000900;0;0;0;0;0;0;0;0;0;0;0;0;3.549462;32.108620;-1.942029;4.783228;0;0;NaN;NaN;0.454884;0.001740;0.454884;0.001740
-0.000800;0;0;0;0;0;0;0;0;0;0;0;0;3.549462;32.108620;-1.942029;4.783228;0;0;0.530041;-0.066114;0.454884;0.001740;0.454884;0.001740
-0.000700;0;0;0;0;0;0;0;0;0;0;0;0;3.549462;32.108620;-1.942029;4.783228;0;0;0.416969;-0.005379;0.454884;0.001740;0.454884;0.001740
-0.000600;0;0;0;0;0;0;0;0;0;0;0;0;3.549462;32.108620;-1.942029;4.783228;0;0;NaN;NaN;0.454884;0.001740;0.454884;0.001740
-0.000500;0;0;0;0;0;0;0;0;0;0;0;0;3.549462;32.108620;-1.942029;4.783228;0;0;1.959068;2.243262;0.454884;0.001740;0.454884;0.001740
-0.000400;0;0;0;0;0;0;0;0;0;0;0;0;3.549462;32.108620;-1.938214;4.783228;0;0;0.397812;-0.066114;0.454884;0.001740;0.454884;0.001740
-0.000300;0;0;0;0;0;0;0;0;0;0;0;0;3.549462;32.108620;-1.938214;4.783228;0;0;0.457339;0.015287;0.454884;0.001740;0.454884;0.001740
-0.000200;0;0;0;0;0;0;0;0;0;0;0;0;3.549462;32.108620;-1.942029;4.787043;-0.012214;0;NaN;NaN;0.454885;0.001740;0.454885;0.001740
-0.000100;0.000006;0;0.000011;-0.000002;0.000015;0.000020;-0.000024;-0.000015;-0.000008;-0.000003;0.000009;-0.000004;3.545647;32.104801;-1.945844;4.775599;0.389320;0.137924;0.907730;-1.239200;0.454884;0.001740;0.454884;0.001740
