#timeI (float64)[1];inputMirnov0 (float64)[1];inputMirnov1 (float64)[1];inputMirnov2 (float64)[1];inputMirnov3 (float64)[1];inputMirnov4 (float64)[1];inputMirnov5 (float64)[1];inputMirnov6 (float64)[1];inputMirnov7 (float64)[1];inputMirnov8 (float64)[1];inputMirnov9 (float64)[1];inputMirnov10 (float64)[1];inputMirnov11 (float64)[1];langmuir_top (float64)[1];langmuir_outer (float64)[1];langmuir_bottom (float64)[1];langmuir_inner (float64)[1];rogowski_coil (float64)[1];outputFusedR (float64)[1];outputFusedZ (float64)[1];vertical_reference (float64)[1];vertical_current_request (float64)[1]
-0.001000;0;0;0;0;0;0;0;0;0;0;0;0;3.557091;32.524422;-1.942029;4.771784;0;0.454828;0.001740;0;0.521876
-0.000900;0;0;0;0;0;0;0;0;0;0;0;0;3.553276;32.524422;-1.938214;4.771784;0;0.454827;0.001740;0.003423;-0.504915
-0.000800;0;0;0;0;0;0;0;0;0;0;0;0;3.553276;32.524422;-1.942029;4.771784;0;0.454827;0.001740;0.002939;-0.359787
-0.000700;0;0;0;0;0;0;0;0;0;0;0;0;3.557091;32.528229;-1.942029;4.771784;0;0.454827;0.001740;0.003423;-0.504944
-0.000600;0;0;0;0;0;0;0;0;0;0;0;0;3.557091;32.528229;-1.942029;4.771784;0;0.454827;0.001740;0.002679;-0.281864
-0.000500;0;0;0;0;0;0;0;0;0;0;0;0;3.557091;32.524422;-1.942029;4.775599;0;0.454828;0.001740;0.002129;-0.116793
-0.000400;0;0;0;0;0;0;0;0;0;0;0;0;3.557091;32.524422;-1.942029;4.771784;0;0.454827;0.001740;0.001545;0.058351
-0.000300;0;0;0;0;0;0;0;0;0;0;0;0;3.560906;32.528229;-1.942029;4.775599;0;0.454827;0.001740;0.000937;0.240790
-0.000200;0;0;0;0;0;0;0;0;0;0;0;0;3.560906;32.524422;-1.942029;4.775599;-15.267970;0.454828;0.001740;0;0.521862
-0.000100;0.000002;0.000001;0.000003;0.000005;0.000009;0.000008;-0.000009;-0.000006;-0.000004;-0.000002;-0.000003;0.000002;3.557091;32.524422;-1.942029;4.775599;-4.955627;0.454828;0.001740;-0.000937;0.802924
0;0.000001;-0.000001;0.000008;0.000018;0.000021;0.000011;-0.000012;-0.000011;-0.000004;0.000001;-0.000002;0.000017;3.553276;32.520599;-1.945844;4.764154;-0.372375;0.454828;0.001739;-0.001545;0.985225
0.000100;-0.000075;-0.000022;0.000007;0.000019;0.000030;-0.000009;0.000023;0.000015;0.000054;0.000030;0.000046;0.000041;3.473168;32.486271;-2.025952;4.653528;6.731689;0.454822;0.001738;0.003423;-0.505515
0.000200;-0.000133;-0.000044;0.000001;0.000024;0.000040;-0.000027;0.000056;0.000033;0.000085;0.000047;0.000074;0.000058;3.534203;32.512970;-1.964917;4.741266;-72.100403;0.454832;0.001737;0.002939;-0.360440
