#timeI (float32)[1];inputMirnov0 (float32)[1];inputMirnov1 (float32)[1];inputMirnov2 (float32)[1];inputMirnov3 (float32)[1];inputMirnov4 (float32)[1];inputMirnov5 (float32)[1];inputMirnov6 (float32)[1];inputMirnov7 (float32)[1];inputMirnov8 (float32)[1];inputMirnov9 (float32)[1];inputMirnov10 (float32)[1];inputMirnov11 (float32)[1];langmuir_top (float32)[1];langmuir_outer (float32)[1];langmuir_bottom (float32)[1];langmuir_inner (float32)[1];rogowski_coil (float32)[1];outputFusedR (float32)[1];outputFusedZ (float32)[1];vertical_reference (float32)[1];vertical_current_request (float32)[1]
-0.001000;0;0;0;0;0;0;0;0;0;0;0;0;3.526573;32.047581;-1.934399;4.787043;0;0.462916;0.001614;0;0
-0.000900;0;0;0;0;0;0;0;0;0;0;0;0;3.526573;32.047581;-1.934399;4.790857;0;0.462923;0.001614;0.001243;0
-0.000800;0;0;0;0;0;0;0;0;0;0;0;0;3.526573;32.047581;-1.934399;4.790857;0;0.462923;0.001614;0.001545;0
-0.000700;0;0;0;0;0;0;0;0;0;0;0;0;3.530388;32.047581;-1.930585;4.787043;0;0.462921;0.001614;0.002129;0.015440
-0.000600;0;0;0;0;0;0;0;0;0;0;0;0;3.526573;32.047581;-1.930585;4.790857;0;0.462923;0.001615;0.002409;0.023822
-0.000500;0;0;0;0;0;0;0;0;0;0;0;0;3.530388;32.047581;-1.930585;4.790857;0;0.462923;0.001614;0.002939;0.039741
-0.000400;0;0;0;0;0;0;0;0;0;0;0;0;3.522759;32.043769;-1.938214;4.783228;0;0.462921;0.001614;0.003187;0.047187
-0.000300;0;0;0;0;0;0;0;0;0;0;0;0;3.522759;32.047581;-1.938214;4.783228;0;0.462918;0.001614;0.003423;0.054255
-0.000200;0;0;0;0;0;0;0;0;0;0;0;0;3.518944;32.047581;-1.938214;4.779413;0.010987;0.462916;0.001615;0.003853;0.067136
-0.000100;-0.000061;0.000014;-0.000046;0.000061;-0.000027;-0.000036;0.000041;0.000027;-0.000009;0.000012;-0.000074;0.000037;3.526573;32.047581;-1.934399;4.787043;-3.597116;0.462919;0.001614;0.004045;0.072947
0;-0.000086;0.000021;-0.000070;0.000087;-0.000043;-0.000054;0.000055;0.000041;-0.000017;0.000018;-0.000111;0.000053;3.526573;32.047581;-1.930585;4.787043;-5.287674;0.462918;0.001613;0.004222;0.078244
0.000100;-0.000104;0.000028;-0.000063;0.000083;-0.000043;-0.000064;0.000064;0.000045;0.000017;0.000030;-0.000100;0.000041;3.469353;32.020881;-1.991620;4.703119;-3.945020;0.462883;0.001614;0.004524;0.087319
0.000200;-0.000090;0.000021;-0.000042;0.000046;-0.000039;-0.000064;0.000069;0.000045;0.000043;0.000030;-0.000055;0.000012;3.511315;32.039952;-1.945844;4.767969;-2.096193;0.462913;0.001614;0.004649;0.091033
0.000300;-0.000072;0.000011;-0.000025;0.000008;-0.000035;-0.000059;0.000069;0.000045;0.000061;0.000030;-0.000015;-0.000012;3.522759;32.047581;-1.934399;4.787043;-0.821361;0.462920;0.001615;0.004843;0.096848
0.000400;-0.000047;0;-0.000007;-0.000027;-0.000031;-0.000054;0.000069;0.000041;0.000074;0.000024;0.000026;-0.000033;3.530388;32.047581;-1.930585;4.790857;0.583665;0.462922;0.001614;0.004961;0.100402
0.000500;-0.000025;-0.000007;0.000014;-0.000061;-0.000023;-0.000050;0.000064;0.000036;0.000087;0.000024;0.000067;-0.000053;3.530388;32.047581;-1.930585;4.790857;2.070763;0.462922;0.001614;0.004990;0.101299
0.000600;-0.000021;-0.000007;0.000018;-0.000068;-0.000019;-0.000041;0.000060;0.000036;0.000087;0.000018;0.000067;-0.000061;3.526573;32.047581;-1.934399;4.790857;2.107783;0.462922;0.001614;0.004990;0.101295
0.000700;-0.000050;0.000007;0;-0.000030;-0.000019;-0.000036;0.000055;0.000036;0.000074;0.000024;0.000026;-0.000049;3.526573;32.047581;-1.930585;4.790857;0.812558;0.462922;0.001614;0.004961;0.100385
0.000800;-0.000075;0.000018;-0.000014;0.000008;-0.000019;-0.000027;0.000050;0.000036;0.000061;0.000030;-0.000018;-0.000041;3.526573;32.047581;-1.934399;4.787043;-0.439432;0.462920;0.001614;0.004755;0.094234
0.000900;-0.000100;0.000032;-0.000032;0.000046;-0.000016;-0.000018;0.000041;0.000036;0.000048;0.000036;-0.000063;-0.000033;3.530388;32.051398;-1.934399;4.790857;-1.641011;0.462920;0.001614;0.004649;0.091060
0.001000;-0.000125;0.000046;-0.000046;0.000087;-0.000012;-0.000005;0.000032;0.000036;0.000035;0.000042;-0.000107;-0.000020;3.530388;32.047581;-1.934399;4.790857;-2.829918;0.462922;0.001613;0.004222;0.078246
0.001100;-0.000129;0.000050;-0.000042;0.000099;0;0.000014;0.000014;0.000027;0.000030;0.000047;-0.000115;-0.000025;3.526573;32.051398;-1.934399;4.787043;-2.431418;0.462917;0.001614;0.003853;0.067157
