#timeI (float64)[1];PositionZ (float64)[1];vertical_reference (float64)[1];vertical_current_request (float64)[1]
-0.001000;0;-0.004000;1.200000
-0.000900;0;-0.004000;1.200000
-0.000800;0;-0.004000;1.200000
-0.000700;0;-0.004000;1.200000
-0.000600;0;-0.004000;1.200000
-0.000500;0;-0.004000;1.200000
-0.000400;0;-0.004000;1.200000
-0.000300;0;-0.004000;1.200000
-0.000200;0.085000;-0.004000;26.699998
-0.000100;0.085000;-0.004000;26.699997
0;0.085000;-0.004000;26.699996
0.000100;0.085000;-0.004000;26.699994
0.000200;0.085000;-0.004000;26.699993
0.000300;0.085000;-0.004000;26.699992
0.000400;0.085000;-0.004000;26.699990
0.000500;0.085000;-0.004000;26.699989
0.000600;0.085000;-0.004000;26.699988
0.000700;0.085000;-0.004000;26.699986
0.000800;0.085000;-0.004000;26.699985
0.000900;0.085000;-0.004000;26.699984
0.001000;0.085000;-0.004000;26.699982
0.001100;0.085000;-0.004000;26.699981
0.001200;0.085000;-0.004000;26.699980
0.001300;0.085000;-0.004000;26.699978
0.001400;0.085000;-0.004000;26.699977
0.001500;0.085000;-0.004000;26.699976
0.001600;0.085000;-0.004000;26.699974
0.001700;0.085000;-0.004000;26.699973
0.001800;0.085000;-0.004000;26.699972
0.001900;0.085000;-0.004000;26.699970
0.002000;0.085000;-0.004000;26.699969
0.002100;0.085000;-0.004000;26.699968
0.002200;0.085000;-0.004000;26.699966
0.002300;0.085000;-0.004000;26.699965
0.002400;0.085000;-0.004000;26.699964
0.002500;0.085000;-0.004000;26.699962
0.002600;0.085000;-0.004000;26.699961
0.002700;0.085000;-0.004000;26.699960
0.002800;0.085000;-0.004000;26.699958
0.002900;0.085000;-0.004000;26.699957
0.003000;0.085000;-0.004000;26.699956
0.003100;0.085000;-0.004000;26.699954
0.003200;0.085000;-0.004000;26.699953
0.003300;0.085000;-0.004000;26.699952
0.003400;0.085000;-0.004000;26.699950
0.003500;0.085000;-0.004000;26.699949
0.003600;0.085000;-0.004000;26.699948
0.003700;0.085000;-0.004000;26.699946
0.003800;0.085000;-0.004000;26.699945
0.003900;0.085000;-0.004000;26.699944
0.004000;0.085000;-0.004000;26.699942
0.004100;0.085000;-0.004000;26.699941
0.004200;0.085000;-0.004000;26.699940
0.004300;0.085000;-0.004000;26.699938
0.004400;0.085000;-0.004000;26.699937
0.004500;0.085000;-0.004000;26.699936
0.004601;0.085000;-0.004000;26.699934
0.004701;0.085000;-0.004000;26.699933
0.004801;0.085000;-0.004000;26.699932
0.004901;0.085000;-0.004000;26.699930
0.005001;0.085000;-0.004000;26.699929
0.005101;0.085000;-0.004000;26.699928
0.005201;0.085000;-0.004000;26.699926
0.005301;0.085000;-0.004000;26.699925
0.005401;0.085000;-0.004000;26.699924
0.005501;0.085000;-0.004000;26.699922
0.005601;0.085000;-0.004000;26.699921
0.005701;0.085000;-0.004000;26.699920
