#timeI (float64)[1];inputMirnov0 (float64)[1];inputMirnov1 (float64)[1];inputMirnov2 (float64)[1];inputMirnov3 (float64)[1];inputMirnov4 (float64)[1];inputMirnov5 (float64)[1];inputMirnov6 (float64)[1];inputMirnov7 (float64)[1];inputMirnov8 (float64)[1];inputMirnov9 (float64)[1];inputMirnov10 (float64)[1];inputMirnov11 (float64)[1];langmuir_top (float64)[1];langmuir_outer (float64)[1];langmuir_bottom (float64)[1];langmuir_inner (float64)[1];rogowski_coil (float64)[1];outputMpIp (float64)[1];outputMpR (float64)[1];outputMpZ (float64)[1];outputEpR (float64)[1];outputEpZ (float64)[1]
-0.001000;0;0;0;0;0;0;0;0;0;0;0;0;-0.013456;0.072877;0.068311;0.060645;0;0.006212;0.445638;0.016179;0.425258;-0.002594
-0.000900;0;0;0;0;0;0;0;0;0;0;0;0;-0.013456;0.072877;0.068311;0.060645;0;0.006212;0.445638;0.016179;0.425258;-0.002594
-0.000800;0;0;0;0;0;0;0;0;0;0;0;0;-0.013456;0.072877;0.068311;0.064460;0;0.006212;0.446140;0.016759;0.425256;-0.002594
-0.000700;0;0;0;0;0;0;0;0;0;0;0;0;-0.013456;0.072877;0.068311;0.064460;0;0.006144;0.446166;0.016351;0.425256;-0.002594
-0.000600;0;0;0;0;0;0;0;0;0;0;0;0;-0.009641;0.072877;0.068311;0.060645;0;0.006227;0.445411;0.016196;0.425258;-0.002595
-0.000500;0;0;0;0;0;0;0;0;0;0;0;0;-0.009641;0.072877;0.068311;0.064460;0;0.006209;0.445781;0.016160;0.425256;-0.002595
-0.000400;0;0;0;0;0;0;0;0;0;0;0;0;-0.009641;0.076692;0.064496;0.064460;0;0.006155;0.445373;0.016774;0.425258;-0.002596
-0.000300;0;0;0;0;0;0;0;0;0;0;0;0;-0.013456;0.076692;0.068311;0.060645;0;0.006206;0.445386;0.016655;0.425260;-0.002594
-0.000200;0;0;0;0;0;0;0;0;0;0;0;0;-0.013456;0.072877;0.064496;0.064460;-1.312960;0;NaN;NaN;0.425256;-0.002595
-0.000100;0.000001;0.000002;0.000001;0.000006;0.000007;0.000004;-0.000003;-0.000003;0;0.000001;0;0;-0.013456;0.072877;0.068311;0.064460;-0.672827;0.607431;0.500620;-0.098320;0.425256;-0.002594
0;-0.000002;0.000002;0.000002;0.000013;0.000015;0.000010;-0.000007;-0.000006;0.000002;0.000005;0.000001;0.000002;-0.013456;0.072877;0.064496;0.060645;0.183676;1.499966;0.478011;-0.067007;0.425258;-0.002595
0.000100;-0.000068;-0.000012;0.000001;0.000008;0.000025;0.000001;0.000017;0.000017;0.000053;0.000057;0.000042;0.000015;-0.066861;0.046175;0.007276;-0.011834;3.561013;6.066662;0.377127;0.057335;0.425281;-0.002596
0.000200;-0.000122;-0.000033;-0.000004;-0.000003;0.000028;0;0.000028;0.000031;0.000083;0.000082;0.000068;0.000019;-0.032529;0.065248;0.049238;0.030128;3.552186;6.905409;0.322901;0.090959;0.425270;-0.002594
0.000300;-0.000153;-0.000049;-0.000009;-0.000012;0.000028;0.000002;0.000035;0.000040;0.000091;0.000090;0.000078;0.000022;-0.021085;0.069063;0.056867;0.053016;2.340915;6.392715;0.271978;0.117571;0.425260;-0.002595
0.000400;-0.000180;-0.000063;-0.000016;-0.000022;0.000023;-0.000001;0.000041;0.000046;0.000104;0.000094;0.000090;0.000026;-0.009641;0.072877;0.068311;0.064460;0.804888;5.498501;0.200474;0.167681;0.425256;-0.002595
0.000500;-0.000194;-0.000072;-0.000020;-0.000030;0.000018;-0.000005;0.000053;0.000058;0.000107;0.000100;0.000095;0.000024;-0.017270;0.069063;0.068311;0.056831;0.229816;5.160563;0.149048;0.198041;0.425258;-0.002593
0.000600;-0.000221;-0.000090;-0.000032;-0.000046;0.000003;-0.000020;0.000073;0.000071;0.000122;0.000104;0.000108;0.000035;-0.017270;0.065248;0.068311;0.053016;-1.157798;4.134967;0.004806;0.316126;0.425258;-0.002593
0.000700;-0.000237;-0.000097;-0.000041;-0.000050;0.000001;-0.000034;0.000097;0.000087;0.000131;0.000115;0.000116;0.000036;-0.009641;0.069063;0.072126;0.056831;-0.411599;4.800898;0.019939;0.306150;0.425258;-0.002594
0.000800;-0.000259;-0.000110;-0.000054;-0.000054;-0.000003;-0.000048;0.000120;0.000100;0.000145;0.000125;0.000128;0.000045;-0.017270;0.065248;0.056867;0.060645;-0.007986;5.257579;0.009542;0.320119;0.425254;-0.002596
0.000900;-0.000276;-0.000117;-0.000062;-0.000055;-0.000002;-0.000057;0.000138;0.000112;0.000158;0.000134;0.000137;0.000047;-0.009641;0.069063;0.064496;0.056831;0.821738;6.041854;0.032081;0.300917;0.425258;-0.002596
0.001000;-0.000287;-0.000124;-0.000069;-0.000055;0;-0.000061;0.000151;0.000122;0.000167;0.000142;0.000143;0.000047;-0.013456;0.072877;0.064496;0.068275;1.679248;6.860171;0.057140;0.276821;0.425254;-0.002595
0.001100;-0.000306;-0.000133;-0.000078;-0.000054;0.000002;-0.000066;0.000162;0.000128;0.000182;0.000145;0.000152;0.000052;-0.009641;0.072877;0.072126;0.064460;1.875051;7.224085;0.051657;0.277381;0.425256;-0.002594
0.001200;-0.000314;-0.000141;-0.000081;-0.000060;0.000001;-0.000064;0.000169;0.000138;0.000187;0.000150;0.000155;0.000047;-0.013456;0.069063;0.072126;0.064460;1.967975;7.296564;0.034218;0.283010;0.425254;-0.002593
0.001300;-0.000313;-0.000146;-0.000083;-0.000064;0.000001;-0.000056;0.000167;0.000141;0.000189;0.000146;0.000151;0.000038;-0.017270;0.069063;0.068311;0.053016;1.516543;6.676394;-0.016886;0.303052;0.425260;-0.002593
0.001400;-0.000330;-0.000158;-0.000087;-0.000070;0.000001;-0.000050;0.000170;0.000149;0.000197;0.000150;0.000157;0.000038;-0.017270;0.072877;0.068311;0.060645;1.368679;6.505149;-0.058858;0.322553;0.425258;-0.002593
0.001500;-0.000323;-0.000158;-0.000085;-0.000070;0.000007;-0.000034;0.000160;0.000150;0.000191;0.000145;0.000148;0.000025;-0.009641;0.065248;0.045423;0.064460;1.571106;6.099937;-0.095854;0.319703;0.425252;-0.002602
0.001600;-0.000334;-0.000166;-0.000086;-0.000072;0.000014;-0.000020;0.000151;0.000151;0.000195;0.000145;0.000150;0.000021;-0.002012;0.072877;0.037794;0.056831;1.570877;5.822325;-0.139898;0.328346;0.425260;-0.002606
0.001700;-0.000339;-0.000169;-0.000087;-0.000063;0.000030;-0.000004;0.000142;0.000151;0.000194;0.000148;0.000146;0.000017;0.013247;0.099580;0.049238;0.075904;2.561572;6.494235;-0.086447;0.272843;0.425264;-0.002607
0.001800;-0.000341;-0.000170;-0.000085;-0.000050;0.000048;0.000016;0.000126;0.000142;0.000193;0.000144;0.000143;0.000010;0.032320;0.118654;0.068311;0.064460;3.222260;6.926031;-0.051204;0.226994;0.425279;-0.002607
0.001900;-0.000356;-0.000178;-0.000088;-0.000039;0.000066;0.000034;0.000117;0.000141;0.000196;0.000149;0.000147;0.000013;0.066653;0.156800;0.083570;0.030128;3.798963;7.825607;-0.005841;0.189035;0.425316;-0.002613
0.002000;-0.000359;-0.000182;-0.000088;-0.000026;0.000082;0.000050;0.000107;0.000136;0.000191;0.000148;0.000144;0.000009;0.100985;0.236909;0.125531;-0.458152;4.179686;8.322645;0.020914;0.156748;0.425606;-0.002611
