#timeI (float64)[1];inputMirnov0 (float64)[1];inputMirnov1 (float64)[1];inputMirnov2 (float64)[1];inputMirnov3 (float64)[1];inputMirnov4 (float64)[1];inputMirnov5 (float64)[1];inputMirnov6 (float64)[1];inputMirnov7 (float64)[1];inputMirnov8 (float64)[1];inputMirnov9 (float64)[1];inputMirnov10 (float64)[1];inputMirnov11 (float64)[1];langmuir_top (float64)[1];langmuir_outer (float64)[1];langmuir_bottom (float64)[1];langmuir_inner (float64)[1];outputMpIp (float64)[1];outputMpR (float64)[1];outputMpZ (float64)[1];outputEpR (float64)[1];outputEpZ (float64)[1]
-0.001000;0;0;0;0;0;0;0;0;0;0;0;0;3.530388;32.093361;-1.926770;4.783228;0;NaN;NaN;0.439167;-0.004254
-0.000900;0;0;0;0;0;0;0;0;0;0;0;0;3.530388;32.093361;-1.930585;4.783228;0;NaN;NaN;0.439167;-0.004255
-0.000800;0;0;0;0;0;0;0;0;0;0;0;-9247.264347;3.530388;32.093361;-1.926770;4.783228;-360258006.834769;0.530041;0.066114;0.439167;-0.004254
-0.000700;0;0;0;0;0;0;0;0;0;0;0;0;3.534203;32.093361;-1.930585;4.783228;0;0.439334;-0.009335;0.439167;-0.004256
-0.000600;0;0;0;0;0;0;0;0;0;0;0;0;3.530388;32.093361;-1.934399;4.783228;0;0.508739;0.004958;0.439167;-0.004256
-0.000500;0;0;0;0;0;0;0;0;0;0;0;0;3.530388;32.089539;-1.930585;4.783228;0;0.541330;0.046562;0.439165;-0.004255
-0.000400;0;0;0;0;0;0;0;0;0;0;0;0;3.534203;32.089539;-1.930585;4.783228;0;0.439328;-0.016341;0.439165;-0.004256
-0.000300;0;0;0;0;0;0;0;0;0;0;0;0;3.534203;32.093361;-1.930585;4.783228;0;0.439334;-0.009335;0.439167;-0.004256
-0.000200;0;0;0;0;0;0;0;0;0;0;0;0;3.534203;32.093361;-1.930585;4.783228;0;NaN;NaN;0.439167;-0.004256
-0.000100;0.000047;-0.000020;0.000042;-0.000065;0.000018;0.000014;-0.000018;-0.000021;0.000012;-0.000013;0.000083;-0.000022;3.518944;32.081909;-1.945844;4.764154;2.259017;0.566671;0.134171;0.439171;-0.004256
0;0.000056;-0.000029;0.000051;-0.000088;0.000015;0.000004;-0.000010;-0.000019;0.000020;-0.000018;0.000112;-0.000025;3.530388;32.093361;-1.938214;4.779413;2.687578;0.548550;0.187854;0.439169;-0.004257
0.000100;0.000014;-0.000017;0.000036;-0.000059;0.000005;-0.000012;0.000005;-0.000006;0.000038;-0.000002;0.000087;-0.000018;3.492241;32.074280;-1.972546;4.722193;2.802384;0.460783;0.178017;0.439189;-0.004256
0.000200;-0.000029;-0.000006;0.000018;-0.000029;-0.000003;-0.000023;0.000025;0.000010;0.000051;0.000014;0.000055;-0.000019;3.511315;32.085732;-1.953473;4.752710;2.472617;0.337652;0.168662;0.439179;-0.004256
0.000300;-0.000065;0.000002;-0.000004;0.000002;-0.000014;-0.000035;0.000044;0.000025;0.000051;0.000025;0.000017;-0.000014;3.526573;32.089539;-1.934399;4.775599;1.313558;0.048115;0.228191;0.439169;-0.004255
0.000400;-0.000098;0.000011;-0.000026;0.000035;-0.000023;-0.000044;0.000060;0.000038;0.000048;0.000034;-0.000023;-0.000007;3.530388;32.089539;-1.930585;4.783228;0.141593;-4.779441;1.123286;0.439165;-0.004255
0.000500;-0.000118;0.000017;-0.000038;0.000055;-0.000030;-0.000051;0.000071;0.000047;0.000047;0.000041;-0.000048;-0.000004;3.534203;32.093361;-1.930585;4.783228;-0.384152;2.731706;-0.202817;0.439167;-0.004256
0.000600;-0.000095;0.000008;-0.000019;0.000020;-0.000025;-0.000048;0.000071;0.000043;0.000060;0.000035;-0.000007;-0.000022;3.530388;32.089539;-1.930585;4.783228;0.813987;-0.572833;0.325575;0.439165;-0.004255
0.000700;-0.000071;-0.000001;0.000001;-0.000014;-0.000018;-0.000043;0.000068;0.000038;0.000072;0.000029;0.000034;-0.000041;3.534203;32.089539;-1.930585;4.783228;2.005972;0.066155;0.213619;0.439165;-0.004256
0.000800;-0.000047;-0.000010;0.000021;-0.000048;-0.000010;-0.000035;0.000061;0.000031;0.000082;0.000023;0.000073;-0.000060;3.534203;32.093361;-1.930585;4.783228;3.213806;0.234547;0.177071;0.439167;-0.004256
0.000900;-0.000023;-0.000018;0.000043;-0.000081;0;-0.000023;0.000053;0.000022;0.000091;0.000018;0.000111;-0.000078;3.534203;32.093361;-1.930585;4.783228;4.488051;0.316513;0.153262;0.439167;-0.004256
0.001000;-0.000009;-0.000022;0.000057;-0.000101;0.000010;-0.000010;0.000043;0.000014;0.000096;0.000013;0.000134;-0.000092;3.530388;32.093361;-1.930585;4.787043;5.139321;0.344773;0.138157;0.439165;-0.004255
0.001100;-0.000036;-0.000010;0.000041;-0.000065;0.000014;0.000001;0.000037;0.000016;0.000084;0.000020;0.000090;-0.000085;3.534203;32.089539;-1.934399;4.783228;4.131447;0.297122;0.099161;0.439165;-0.004257
0.001200;-0.000063;0.000002;0.000026;-0.000028;0.000018;0.000014;0.000029;0.000016;0.000071;0.000027;0.000045;-0.000078;3.530388;32.089539;-1.930585;4.783228;3.069095;0.219024;0.031271;0.439165;-0.004255
0.001300;-0.000090;0.000014;0.000011;0.000010;0.000024;0.000030;0.000018;0.000015;0.000057;0.000035;0;-0.000071;3.530388;32.093361;-1.930585;4.783228;2.082610;0.079046;-0.115346;0.439167;-0.004255
