shot,shot_label,position,estimator,MAE,RMSE,MaxAE,PCC
53071,Shot 53071,R,Magnetic,1.4715260944091721,1.647874607856159,3.3546864175548805,0.7269232683956685
53071,Shot 53071,R,Electric,1.0845990036485764,1.2548292718957854,3.629660024978665,0.9999973387951043
53071,Shot 53071,R,Fused,1.3919382097580935,1.553227948911767,3.121386417554878,0.8085061968727781
53071,Shot 53071,Z,Magnetic,1.5640748916305158,1.7668149414072558,3.8821951255894565,0.0016421190672233652
53071,Shot 53071,Z,Electric,1.1451460362149435,1.3667069431890608,3.321195125589456,0.9999909334613212
53071,Shot 53071,Z,Fused,1.1315685054743565,1.3570107143019483,3.3695951255894556,0.12550692398463698
48555,Shot 48555,R,Magnetic,2.5539254110838336,2.5896836710113997,3.7025159597942614,0.5995525534296668
48555,Shot 48555,R,Electric,3.3329294110838346,3.3633881179151506,4.917727979430142,0.719512113531997
48555,Shot 48555,R,Fused,2.613524611083834,2.647085142717386,3.716615959794256,0.6317225949610442
48555,Shot 48555,Z,Magnetic,0.6922642344356691,0.7004514449403053,0.8616153874017991,0.9765350411859296
48555,Shot 48555,Z,Electric,0.4816290344356691,0.510990288472576,0.7292913789883431,0.775316695115349
48555,Shot 48555,Z,Fused,1.0636074344356692,1.0701669936714993,1.2001719768051913,0.9377195255943277
