selection_group,shot,flat_top_start_ms,flat_top_end_ms,position,estimator,MAE_cm,RMSE_cm,MaxAE_cm,PCC,sample_count
Langmuir reconstruction selection,45967,53,77,R,Magnetic,1.5382247924584567,1.5866344275317488,2.6354332754652043,0.9320693554162189,240
Langmuir reconstruction selection,45967,53,77,R,Electric,1.66566062579179,1.7507715576655223,3.086533275465203,0.7503593905384491,240
Langmuir reconstruction selection,45967,53,77,R,Fused,1.547046042458457,1.6038137427107646,2.7421332754652026,0.9261433472905212,240
Langmuir reconstruction selection,45967,53,77,Z,Magnetic,0.7472831870548746,0.7488240098236387,0.9211497520227202,0.556805911251624,240
Langmuir reconstruction selection,45967,53,77,Z,Electric,0.19000331565569406,0.1967703852853462,0.43444975202272024,0.09438140464732152,240
Langmuir reconstruction selection,45967,53,77,Z,Fused,0.584415270388208,0.5862951162804765,0.7190497520227203,0.480712530689046,240
Langmuir reconstruction selection,46241,35,59,R,Magnetic,1.6882044109204846,2.0505953926626974,4.019620753898145,0.816501910527804,240
Langmuir reconstruction selection,46241,35,59,R,Electric,2.5377932674788184,2.944253839093529,6.001704322228663,0.6010269877773036,240
Langmuir reconstruction selection,46241,35,59,R,Fused,1.8981776907885304,2.2572105031337215,4.473409353293956,0.8218440503871957,240
Langmuir reconstruction selection,46241,35,59,Z,Magnetic,0.06999686860178388,0.08550173292302082,0.2320539119914968,0.74730853155059,240
Langmuir reconstruction selection,46241,35,59,Z,Electric,0.17565814117708606,0.20416216373022203,0.6697656253739666,0.21205408092188935,240
Langmuir reconstruction selection,46241,35,59,Z,Fused,0.06849134335531175,0.0944635845206209,0.3031050838414751,0.7143666888625009,240
Langmuir reconstruction selection,53058,39,64,R,Magnetic,1.0790210006992875,1.309992673456091,3.1678002559997864,0.4842582227738285,250
Langmuir reconstruction selection,53058,39,64,R,Electric,1.1227765848803413,1.3972045969594447,4.073700255999791,0.9999963808148083,250
Langmuir reconstruction selection,53058,39,64,R,Fused,1.090707775035054,1.3149687479409669,3.406000255999786,0.6526820486365521,250
Langmuir reconstruction selection,53058,39,64,Z,Magnetic,1.1355530025010299,1.3056481515800529,3.115832116289976,0.15894845845968963,250
Langmuir reconstruction selection,53058,39,64,Z,Electric,0.9412399986072648,1.207084671116312,3.998432116289976,0.9999966902876937,250
Langmuir reconstruction selection,53058,39,64,Z,Fused,0.9683132332506436,1.2062578768250483,3.843632116289976,0.2561593986868126,250
Langmuir reconstruction selection,53071,272,293,R,Magnetic,1.471526094409145,1.6478746078561268,3.3546864175548863,0.726923268395702,210
Langmuir reconstruction selection,53071,272,293,R,Electric,1.0845990036485595,1.2548292718957674,3.629660024979536,0.9999973387951033,210
Langmuir reconstruction selection,53071,272,293,R,Fused,1.3919382097580695,1.553227948911739,3.1213864175548833,0.8085061968728028,210
Langmuir reconstruction selection,53071,272,293,Z,Magnetic,1.5640748916305167,1.76681494140726,3.8821951255894565,0.0016421190672233903,210
Langmuir reconstruction selection,53071,272,293,Z,Electric,1.145146036214919,1.3667069431890653,3.321195125589456,0.999990933461322,210
Langmuir reconstruction selection,53071,272,293,Z,Fused,1.131568505474335,1.3570107143019525,3.3695951255894556,0.12550692398464128,210
Reference reconstruction selection,48555,105,130,R,Magnetic,2.5539254110838336,2.5896836710113997,3.702515959794239,0.5995525534296584,250
Reference reconstruction selection,48555,105,130,R,Electric,3.3329294110838337,3.3633881179151497,4.917727979429987,0.7195121135319982,250
Reference reconstruction selection,48555,105,130,R,Fused,2.6135246110838333,2.6470851427173856,3.716615959794234,0.631722594961041,250
Reference reconstruction selection,48555,105,130,Z,Magnetic,0.6922642344356689,0.7004514449403052,0.8616153874017809,0.9765350411859323,250
Reference reconstruction selection,48555,105,130,Z,Electric,0.48162903443566896,0.5109902884725759,0.7292913789883365,0.7753166951153492,250
Reference reconstruction selection,48555,105,130,Z,Fused,1.063607434435669,1.070166993671499,1.2001719768051966,0.9377195255943264,250
Reference reconstruction selection,48556,105,130,R,Magnetic,2.7426137570866267,2.862958757272572,4.654344313407332,0.5492978510741723,250
Reference reconstruction selection,48556,105,130,R,Electric,2.9706373570866274,3.0921852126814224,5.113054942030438,0.6333760127999901,250
Reference reconstruction selection,48556,105,130,R,Fused,2.682145357086627,2.804090193541073,4.432063203225988,0.5720137661906913,250
Reference reconstruction selection,48556,105,130,Z,Magnetic,0.8548674164040926,0.8812643857575914,1.1864634836318464,0.9501595026463802,250
Reference reconstruction selection,48556,105,130,Z,Electric,0.6908362164040928,0.7648296495865065,1.173567121366736,0.05332023084315116,250
Reference reconstruction selection,48556,105,130,Z,Fused,1.2382726164040925,1.262100719275274,1.609867121366736,0.8851894454826937,250
Reference reconstruction selection,48561,104,128,R,Magnetic,2.714067814870302,2.8407693896742647,4.65902258630963,0.37813368006090425,240
Reference reconstruction selection,48561,104,128,R,Electric,2.880661148203635,3.0015303639140862,4.43825999086,0.4778868218821551,240
Reference reconstruction selection,48561,104,128,R,Fused,2.635168231536968,2.7643252259408704,4.500222586309633,0.39355281875708853,240
Reference reconstruction selection,48561,104,128,Z,Magnetic,0.834771233503043,0.8573570458370144,1.1771623299766893,0.9842324929941418,240
