#MdsTime (uint32)[1];correctedMirnov0 (float32)[1];correctedMirnov1 (float32)[1];correctedMirnov2 (float32)[1];correctedMirnov3 (float32)[1];correctedMirnov4 (float32)[1];correctedMirnov5 (float32)[1];correctedMirnov6 (float32)[1];correctedMirnov7 (float32)[1];correctedMirnov8 (float32)[1];correctedMirnov9 (float32)[1];correctedMirnov10 (float32)[1];correctedMirnov11 (float32)[1]
0;-17431.659698;-35627.670288;-94372.034072;-138722.789764;-161819.362640;-89523.372650;-86968.116760;129108.249664;135111.176967;-14059.716224;36323.604583;12037.004232
100;-17431.659698;-35627.670288;-94372.034072;-138722.789764;-161819.362640;-89523.372650;-86968.116760;129108.249664;135111.176967;-14059.716224;36323.604583;12037.006616
200;-17431.659698;-35627.670288;-94372.034072;-138722.789764;-161819.362640;-89523.372650;-86968.126296;129108.249664;135111.176967;-14059.715270;36323.599815;12037.009000
300;-17431.659698;-35627.670288;-94372.034072;-138722.789764;-161819.362640;-89523.372650;-86968.126296;129108.249664;135111.176967;-14059.715270;36323.599815;12037.011384
400;-17431.659698;-35627.670288;-94372.034072;-138722.789764;-161819.362640;-89523.372650;-86968.126296;129108.262062;135111.176967;-14059.715270;36323.599815;12037.012577
500;-17431.659698;-35627.667903;-94372.034072;-138722.789764;-161819.362640;-89523.372650;-86968.126296;129108.262062;135111.176967;-14059.714317;36323.599815;12037.014961
600;-17431.659698;-35627.667903;-94372.034072;-138722.789764;-161819.362640;-89523.372650;-86968.126296;129108.262062;135111.176967;-14059.714317;36323.599815;12037.017345
700;-17431.659698;-35627.667903;-94372.034072;-138722.789764;-161819.362640;-89523.372650;-86968.126296;129108.262062;135111.176967;-14059.714317;36323.597431;12037.019729
800;-17431.659698;-35627.667903;-94372.034072;-138722.789764;-161819.362640;-89523.372650;-86968.126296;129108.262062;135111.176967;-14059.714317;36323.597431;12037.022113
900;-17431.659698;-35627.667903;-94372.034072;-138722.789764;-161819.362640;-89523.382186;-86968.126296;129108.262062;135111.176967;-14059.712886;36323.597431;12037.023305
1000;-17431.659698;-35627.667903;-94372.034072;-138722.789764;-161819.362640;-89523.382186;-86968.135833;129108.262062;135111.176967;-14059.712886;36323.592662;12037.024497
1100;-17431.659698;-35627.667903;-94372.034072;-138722.789764;-161819.362640;-89523.382186;-86968.135833;129108.274459;135111.176967;-14059.712886;36323.592662;12037.028074
1200;-17431.659698;-35627.667903;-94372.034072;-138722.789764;-161819.362640;-89523.382186;-86968.135833;129108.274459;135111.176967;-14059.711456;36323.587894;12037.030458
1300;-17431.659698;-35627.667903;-94372.034072;-138722.789764;-161819.362640;-89523.382186;-86968.135833;129108.274459;135111.176967;-14059.711456;36323.587894;12037.031650
1400;-17431.659698;-35627.667903;-94372.034072;-138722.789764;-161819.362640;-89523.382186;-86968.145370;129108.274459;135111.176967;-14059.711456;36323.587894;12037.034034
1500;-17431.659698;-35627.667903;-94372.034072;-138722.789764;-161819.362640;-89523.382186;-86968.145370;129108.274459;135111.176967;-14059.709548;36323.585510;12037.036418
1600;-17431.659698;-35627.667903;-94372.034072;-138722.789764;-161819.362640;-89523.382186;-86968.145370;129108.274459;135111.176967;-14059.709548;36323.585510;12037.037611
1700;-17431.659698;-35627.667903;-94372.034072;-138722.789764;-161819.362640;-89523.382186;-86968.154907;129108.274459;135111.176967;-14059.709548;36323.585510;12037.041187
