#timeI (float64)[1];inputMirnov0 (float64)[1];inputMirnov1 (float64)[1];inputMirnov2 (float64)[1];inputMirnov3 (float64)[1];inputMirnov4 (float64)[1];inputMirnov5 (float64)[1];inputMirnov6 (float64)[1];inputMirnov7 (float64)[1];inputMirnov8 (float64)[1];inputMirnov9 (float64)[1];inputMirnov10 (float64)[1];inputMirnov11 (float64)[1];outputMpIp (float64)[1];outputMpR (float64)[1];outputMpZ (float64)[1]
-0.001000;0;0;0;0;0;0;0;0;0;0;0;0;0.005333;0.456133;-0.026103
-0.000900;0;0;0;0;0;0;0;0;0;0;0;0;0.005333;0.456133;-0.026103
-0.000800;0;0;0;0;0;0;0;0;0;0;0;0;0.005307;0.455803;-0.025455
-0.000700;0;0;0;0;0;0;0;0;0;0;0;0;0.005311;0.456021;-0.025200
-0.000600;0;0;0;0;0;0;0;0;0;0;0;0;0.005280;0.456095;-0.025543
-0.000500;0;0;0;0;0;0;0;0;0;0;0;0;0.005287;0.455819;-0.025749
-0.000400;0;0;0;0;0;0;0;0;0;0;0;0;0.005347;0.456402;-0.026486
-0.000300;0;0;0;0;0;0;0;0;0;0;0;0;0.005310;0.456772;-0.026846
-0.000200;0;0;0;0;0;0;0;0;0;0;0;0;0;NaN;NaN
-0.000100;-0.000004;-0.000002;-0.000001;-0.000007;-0.000007;-0.000002;0;0.000003;0;0.000001;0.000004;-0.000005;-0.745169;0.468369;0.093184
0;-0.000011;-0.000006;-0.000005;-0.000013;-0.000014;-0.000016;0.000013;0.000010;0.000003;0.000003;0.000008;-0.000002;-1.139639;0.471436;0.195522
0.000100;-0.000079;-0.000028;-0.000015;-0.000024;-0.000020;-0.000048;0.000056;0.000040;0.000059;0.000050;0.000052;0.000028;2.727575;0.391587;-0.395309
0.000200;-0.000140;-0.000048;-0.000025;-0.000032;-0.000021;-0.000077;0.000102;0.000068;0.000100;0.000087;0.000084;0.000038;5.300916;0.373146;-0.332499
0.000300;-0.000182;-0.000070;-0.000040;-0.000038;-0.000026;-0.000098;0.000135;0.000086;0.000125;0.000101;0.000100;0.000059;5.944635;0.352474;-0.377104
0.000400;-0.000209;-0.000084;-0.000050;-0.000039;-0.000026;-0.000113;0.000160;0.000101;0.000142;0.000114;0.000111;0.000070;6.950986;0.346352;-0.369198
0.000500;-0.000243;-0.000102;-0.000061;-0.000047;-0.000030;-0.000126;0.000184;0.000119;0.000163;0.000131;0.000130;0.000079;7.610884;0.334902;-0.393443
0.000600;-0.000257;-0.000111;-0.000069;-0.000059;-0.000040;-0.000130;0.000189;0.000127;0.000174;0.000130;0.000137;0.000072;6.371750;0.296930;-0.502239
0.000700;-0.000277;-0.000123;-0.000078;-0.000072;-0.000048;-0.000133;0.000200;0.000142;0.000185;0.000140;0.000149;0.000069;5.980247;0.265018;-0.585759
0.000800;-0.000285;-0.000130;-0.000083;-0.000081;-0.000053;-0.000130;0.000202;0.000148;0.000192;0.000140;0.000152;0.000059;5.137646;0.213542;-0.706081
0.000900;-0.000297;-0.000137;-0.000088;-0.000089;-0.000055;-0.000123;0.000203;0.000157;0.000200;0.000146;0.000158;0.000048;4.818138;0.170208;-0.783521
0.001000;-0.000308;-0.000144;-0.000092;-0.000091;-0.000051;-0.000117;0.000204;0.000161;0.000202;0.000146;0.000159;0.000049;4.603118;0.134303;-0.833641
0.001100;-0.000307;-0.000143;-0.000090;-0.000081;-0.000035;-0.000103;0.000198;0.000158;0.000203;0.000148;0.000154;0.000045;5.720741;0.182754;-0.649272
0.001200;-0.000318;-0.000150;-0.000094;-0.000072;-0.000021;-0.000092;0.000196;0.000157;0.000206;0.000150;0.000155;0.000053;6.654349;0.207243;-0.556926
0.001300;-0.000330;-0.000156;-0.000095;-0.000062;-0.000007;-0.000080;0.000190;0.000151;0.000210;0.000147;0.000156;0.000061;7.185711;0.215225;-0.507463
0.001400;-0.000344;-0.000165;-0.000100;-0.000055;0.000003;-0.000076;0.000195;0.000154;0.000214;0.000153;0.000160;0.000071;8.220780;0.233234;-0.451033
0.001500;-0.000350;-0.000173;-0.000103;-0.000052;0.000007;-0.000073;0.000199;0.000157;0.000217;0.000152;0.000162;0.000071;8.357637;0.226842;-0.448353
0.001600;-0.000364;-0.000183;-0.000111;-0.000063;0;-0.000079;0.000212;0.000172;0.000226;0.000159;0.000171;0.000063;7.910407;0.197343;-0.505653
