#Time (uint32)[1],WaterHeightReference_csv (float64)[1],WaterHeight_csv (float64)[1],PumpVoltageRequest_csv (float64)[1]
1000000,0,0,0
2000000,3.451057,12.500000,5.000000
3000000,3.451057,8.964466,0
4000000,3.087785,5.970394,0
5000000,2.500000,3.526955,0
6000000,1.912215,1.648936,0
7000000,1.548943,0.364827,0
8000000,1.548943,12.260818,5.000000
9000000,1.912215,8.759273,0
10000000,2.500000,5.799666,0
11000000,3.087785,3.391416,0
12000000,3.451057,3.681101,0.852506
13000000,3.451057,1.762482,0
14000000,3.087785,12.934897,5.000000
15000000,2.500000,9.338385,0
16000000,1.912215,6.282508,0
17000000,1.548943,3.776015,0
18000000,1.548943,1.832818,0
19000000,1.912215,2.624699,0.858279
20000000,2.500000,1.004606,0
21000000,3.087785,12.502306,5.000000
22000000,3.451057,8.966446,0
23000000,3.451057,5.972044,0
24000000,3.087785,3.528267,0
25000000,2.500000,1.649899,0
26000000,1.912215,4.289654,1.569696
27000000,1.548943,2.218506,0
28000000,1.548943,0.729041,0
29000000,1.912215,12.375202,5.000000
30000000,2.500000,8.857362,0
31000000,3.087785,5.881230,0
32000000,3.451057,3.456105,0
33000000,3.451057,2.746500,0.459782
34000000,3.087785,5.503237,1.765598
35000000,2.500000,3.157339,0
36000000,1.912215,1.380449,0
37000000,1.548943,3.018515,1.125196
38000000,1.548943,1.281128,0
39000000,1.912215,9.088177,3.575567
40000000,2.500000,6.073516,0
41000000,3.087785,3.609066,0
42000000,3.451057,1.709312,0
43000000,3.451057,12.901905,5.000000
44000000,3.087785,9.309983,0
45000000,2.500000,6.258756,0
46000000,1.912215,3.757005,0
47000000,1.548943,1.818706,0
48000000,1.548943,0.470112,0
49000000,1.912215,12.284465,5.000000
50000000,2.500000,8.779545,0
51000000,3.087785,5.816515,0
52000000,3.451057,3.404770,0
53000000,3.451057,3.344026,0.713783
54000000,3.087785,1.515358,0
55000000,2.500000,12.784359,5.000000
56000000,1.912215,9.208837,0
57000000,1.548943,6.174230,0
58000000,1.548943,3.689430,0
59000000,1.912215,1.768641,0
60000000,2.500000,10.835010,4.158508
61000000,3.087785,7.543352,0
62000000,3.451057,4.796836,0
63000000,3.451057,2.606668,0
64000000,3.087785,7.919565,2.770966
65000000,2.500000,5.105393,0
66000000,1.912215,2.845881,0
67000000,1.548943,1.158907,0
68000000,1.548943,5.801321,2.287576
69000000,1.912215,3.392728,0
70000000,2.500000,1.550792,0
71000000,3.087785,12.805484,5.000000
72000000,3.451057,9.227010,0
73000000,3.451057,6.189410,0
74000000,3.087785,3.701558,0
75000000,2.500000,1.777614,0
76000000,1.912215,2.794927,0.940234
77000000,1.548943,1.123123,0
78000000,1.548943,6.222001,2.463461
79000000,1.912215,3.727607,0
80000000,2.500000,1.796906,0
81000000,3.087785,12.956419,5.000000
82000000,3.451057,9.356916,0
83000000,3.451057,6.298009,0
84000000,3.087785,3.788425,0
85000000,2.500000,1.842038,0
86000000,1.912215,2.041337,0.622606
87000000,1.548943,0.612583,0
88000000,1.548943,12.248788,4.967553
89000000,1.912215,8.748961,0
90000000,2.500000,5.791097,0
91000000,3.087785,3.384627,0
92000000,3.451057,3.760126,0.886094
93000000,3.451057,1.821021,0
94000000,3.087785,12.971569,5.000000
95000000,2.500000,9.369963,0
96000000,1.912215,6.308923,0
97000000,1.548943,3.797166,0
98000000,1.548943,1.848534,0
99000000,1.912215,2.440881,0.780782
100000000,2.500000,1.933656,0.422043
101000000,3.087785,13.043096,5.000000
102000000,3.451057,9.431574,0
103000000,3.451057,6.360487,0
104000000,3.087785,3.838486,0
105000000,2.500000,1.879281,0
106000000,1.912215,1.605794,0.438953
107000000,1.548943,0.338595,0
108000000,1.548943,12.256706,5.000000
109000000,1.912215,8.755748,0
110000000,2.500000,5.796737,0
111000000,3.087785,3.389096,0
112000000,3.451057,3.708112,0.863986
113000000,3.451057,1.782466,0
114000000,3.087785,12.947376,5.000000
115000000,2.500000,9.349129,0
116000000,1.912215,6.291495,0
117000000,1.548943,3.783210,0
118000000,1.548943,1.838162,0
119000000,1.912215,2.562187,0.831925
120000000,2.500000,0.961504,0
121000000,3.087785,12.480941,5.000000
122000000,3.451057,8.948104,0
123000000,3.451057,5.956766,0
124000000,3.087785,3.516117,0
125000000,2.500000,1.640986,0
126000000,1.912215,4.394010,1.613614
127000000,1.548943,2.297821,0
128000000,1.548943,0.781964,0
129000000,1.912215,12.397677,5.000000
